id|siCardNumber|twentyFourHour|weekDay|fourWeekCounter|twelveHourTimer|subSecond|origFromNode|radioMessageId|sentToMeos|createdDate
364|82|1|1|0|36000|0|2|364|1|2016-04-05 22:55:12.959858
365|83|1|1|0|36000|0|2|365|1|2016-04-05 22:55:17.922426
366|84|1|1|0|36000|0|2|366|1|2016-04-05 22:55:23.107187
367|85|1|1|0|36000|0|2|367|1|2016-04-05 22:55:28.293350
368|86|1|1|0|36000|0|2|368|1|2016-04-05 22:55:33.257432
369|87|1|1|0|36000|0|2|369|1|2016-04-05 22:55:38.328381
370|88|1|1|0|36000|0|2|370|1|2016-04-05 22:55:43.394276
371|89|1|1|0|36000|0|2|371|1|2016-04-05 22:55:48.490043
372|90|1|1|0|36000|0|2|372|1|2016-04-05 22:55:53.686239
373|91|1|1|0|36000|0|2|373|1|2016-04-05 22:55:58.744163
374|92|1|1|0|36000|0|2|374|1|2016-04-05 22:56:03.806675
375|93|1|1|0|36000|0|2|375|1|2016-04-05 22:56:08.971553
376|94|1|1|0|36000|0|2|376|1|2016-04-05 22:56:14.146232
377|95|1|1|0|36000|0|2|377|1|2016-04-05 22:56:19.204157
378|96|1|1|0|36000|0|2|378|1|2016-04-05 22:56:24.369986
379|97|1|1|0|36000|0|2|379|1|2016-04-05 22:56:29.537573
380|98|1|1|0|36000|0|2|380|1|2016-04-05 22:56:34.595571
381|99|1|1|0|36000|0|2|381|1|2016-04-05 22:56:39.657407
382|100|1|1|0|36000|0|2|382|1|2016-04-05 22:56:44.715121
383|101|1|1|0|36000|0|2|383|1|2016-04-05 22:56:49.885186
384|102|1|1|0|36000|0|2|384|1|2016-04-05 22:56:54.953311
385|103|1|1|0|36000|0|2|385|1|2016-04-05 22:57:00.028811
386|104|1|1|0|36000|0|2|386|1|2016-04-05 22:57:05.210518
387|105|1|1|0|36000|0|2|387|1|2016-04-05 22:57:10.280953
388|106|1|1|0|36000|0|2|388|1|2016-04-05 22:57:15.472553
389|107|1|1|0|36000|0|2|389|1|2016-04-05 22:57:20.442644
390|108|1|1|0|36000|0|2|390|1|2016-04-05 22:57:25.629040
391|109|1|1|0|36000|0|2|391|1|2016-04-05 22:57:30.716100
392|110|1|1|0|36000|0|2|392|1|2016-04-05 22:57:35.790420
393|111|1|1|0|36000|0|2|393|1|2016-04-05 22:57:40.896151
394|112|1|1|0|36000|0|2|394|1|2016-04-05 22:57:45.975752
395|113|1|1|0|36000|0|2|395|1|2016-04-05 22:57:51.069137
396|114|1|1|0|36000|0|2|396|1|2016-04-05 22:57:56.149910
397|115|1|1|0|36000|0|2|397|1|2016-04-05 22:58:01.233659
398|116|1|1|0|36000|0|2|398|1|2016-04-05 22:58:06.423639
399|117|1|1|0|36000|0|2|399|1|2016-04-05 22:58:11.495324
400|118|1|1|0|36000|0|2|400|1|2016-04-05 22:58:16.570900
401|119|1|1|0|36000|0|2|401|1|2016-04-05 22:58:21.661340
402|120|1|1|0|36000|0|2|402|1|2016-04-05 22:58:26.850724
403|121|1|1|0|36000|0|2|403|1|2016-04-05 22:58:32.041760
404|122|1|1|0|36000|0|2|404|1|2016-04-05 22:58:37.023047
405|123|1|1|0|36000|0|2|405|1|2016-04-05 22:58:42.108872
406|124|1|1|0|36000|0|2|406|1|2016-04-05 22:58:47.201866
407|125|1|1|0|36000|0|2|407|1|2016-04-05 22:58:52.396020
408|126|1|1|0|36000|0|2|408|1|2016-04-05 22:58:57.478631
409|127|1|1|0|36000|0|2|409|1|2016-04-05 22:59:02.562842
410|128|1|1|0|36000|0|2|410|1|2016-04-05 22:59:07.640909
411|129|1|1|0|36000|0|2|411|1|2016-04-05 22:59:12.733564
412|130|1|1|0|36000|0|2|412|1|2016-04-05 22:59:17.923113
413|131|1|1|0|36000|0|2|413|1|2016-04-05 22:59:22.915316
414|132|1|1|0|36000|0|2|414|1|2016-04-05 22:59:28.109432
415|133|1|1|0|36000|0|2|415|1|2016-04-05 22:59:33.200474
416|134|1|1|0|36000|0|2|416|1|2016-04-05 22:59:38.290427
417|135|1|1|0|36000|0|2|417|1|2016-04-05 22:59:43.490064
418|136|1|1|0|36000|0|2|418|1|2016-04-05 22:59:48.475756
419|137|1|1|0|36000|0|2|419|1|2016-04-05 22:59:53.569831
420|138|1|1|0|36000|0|2|420|1|2016-04-05 22:59:58.657988
421|139|1|1|0|36000|0|2|421|1|2016-04-05 23:00:03.751383
422|140|1|1|0|36000|0|2|422|1|2016-04-05 23:00:08.748677
423|141|1|1|0|36000|0|2|423|1|2016-04-05 23:00:13.956079
424|142|1|1|0|36000|0|2|424|1|2016-04-05 23:00:18.939667
425|143|1|1|0|36000|0|2|425|1|2016-04-05 23:00:24.031324
426|144|1|1|0|36000|0|2|426|1|2016-04-05 23:00:29.166237
427|145|1|1|0|36000|0|2|427|1|2016-04-05 23:00:34.342491
428|146|1|1|0|36000|0|2|428|1|2016-04-05 23:00:39.457728
429|147|1|1|0|36000|0|2|429|1|2016-04-05 23:00:44.443125
430|148|1|1|0|36000|0|2|430|1|2016-04-05 23:00:49.677482
431|149|1|1|0|36000|0|2|431|1|2016-04-05 23:00:54.673039
432|150|1|1|0|36000|0|2|432|1|2016-04-05 23:00:59.884837
433|151|1|1|0|36000|0|2|433|1|2016-04-05 23:01:04.881099
434|152|1|1|0|36000|0|2|434|1|2016-04-05 23:01:09.999061
435|153|1|1|0|36000|0|2|435|1|2016-04-05 23:01:15.216869
436|154|1|1|0|36000|0|2|436|1|2016-04-05 23:01:20.322159
437|155|1|1|0|36000|0|2|437|1|2016-04-05 23:01:25.316211
438|156|1|1|0|36000|0|2|438|1|2016-04-05 23:01:30.423182
439|157|1|1|0|36000|0|2|439|1|2016-04-05 23:01:35.632173
440|158|1|1|0|36000|0|2|440|1|2016-04-05 23:01:40.732665
441|159|1|1|0|36000|0|2|441|1|2016-04-05 23:01:45.834468
442|160|1|1|0|36000|0|2|442|1|2016-04-05 23:01:50.935753
443|161|1|1|0|36000|0|2|443|1|2016-04-05 23:01:56.035958
444|162|1|1|0|36000|0|2|444|1|2016-04-05 23:02:01.253853
445|163|1|1|0|36000|0|2|445|1|2016-04-05 23:02:06.240912
446|164|1|1|0|36000|0|2|446|1|2016-04-05 23:02:11.454535
447|165|1|1|0|36000|0|2|447|1|2016-04-05 23:02:16.557878
448|166|1|1|0|36000|0|2|448|1|2016-04-05 23:02:21.654464
449|167|1|1|0|36000|0|2|449|1|2016-04-05 23:02:26.768437
450|168|1|1|0|36000|0|2|450|1|2016-04-05 23:02:31.888736
451|169|1|1|0|36000|0|2|451|1|2016-04-05 23:02:37.000716
452|170|1|1|0|36000|0|2|452|1|2016-04-05 23:02:42.113916
453|171|1|1|0|36000|0|2|453|1|2016-04-05 23:02:47.117521
454|172|1|1|0|36000|0|2|454|1|2016-04-05 23:02:52.244811
455|173|1|1|0|36000|0|2|455|1|2016-04-05 23:02:57.379490
456|174|1|1|0|36000|0|2|456|1|2016-04-05 23:03:02.522097
457|175|1|1|0|36000|0|2|457|1|2016-04-05 23:03:07.758077
458|176|1|1|0|36000|0|2|458|1|2016-04-05 23:03:12.783243
459|177|1|1|0|36000|0|2|459|1|2016-04-05 23:03:17.927054
460|178|1|1|0|36000|0|2|460|1|2016-04-05 23:03:23.065208
461|179|1|1|0|36000|0|2|461|1|2016-04-05 23:03:28.084591
462|180|1|1|0|36000|0|2|462|1|2016-04-05 23:03:33.212701
463|181|1|1|0|36000|0|2|463|1|2016-04-05 23:03:38.348014
464|182|1|1|0|36000|0|2|464|1|2016-04-05 23:03:43.476768
465|183|1|1|0|36000|0|2|465|1|2016-04-05 23:03:48.602531
466|184|1|1|0|36000|0|2|466|1|2016-04-05 23:03:53.727371
467|185|1|1|0|36000|0|2|467|1|2016-04-05 23:03:58.874547
468|186|1|1|0|36000|0|2|468|1|2016-04-05 23:04:04.024475
469|187|1|1|0|36000|0|2|469|1|2016-04-05 23:04:09.060434
470|188|1|1|0|36000|0|2|470|1|2016-04-05 23:04:14.203979
471|189|1|1|0|36000|0|2|471|1|2016-04-05 23:04:19.361121
472|190|1|1|0|36000|0|2|472|1|2016-04-05 23:04:24.399767
473|191|1|1|0|36000|0|2|473|1|2016-04-05 23:04:29.431580
474|192|1|1|0|36000|0|2|474|1|2016-04-05 23:04:34.585846
475|193|1|1|0|36000|0|2|475|1|2016-04-05 23:04:39.751210
476|194|1|1|0|36000|0|2|476|1|2016-04-05 23:04:44.696001
477|195|1|1|0|36000|0|2|477|1|2016-04-05 23:04:49.849899
478|196|1|1|0|36000|0|2|478|1|2016-04-05 23:04:54.889832
479|197|1|1|0|36000|0|2|479|1|2016-04-05 23:05:00.036232
480|198|1|1|0|36000|0|2|480|1|2016-04-05 23:05:05.192114
481|199|1|1|0|36000|0|2|481|1|2016-04-05 23:05:10.249207
482|200|1|1|0|36000|0|2|482|1|2016-04-05 23:05:15.407941
483|201|1|1|0|36000|0|2|483|1|2016-04-05 23:05:20.468023
484|202|1|1|0|36000|0|2|484|1|2016-04-05 23:05:25.643151
485|203|1|1|0|36000|0|2|485|1|2016-04-05 23:05:30.799329
486|204|1|1|0|36000|0|2|486|1|2016-04-05 23:05:35.859242
487|205|1|1|0|36000|0|2|487|1|2016-04-05 23:05:41.029787
488|206|1|1|0|36000|0|2|488|1|2016-04-05 23:05:46.097954
489|207|1|1|0|36000|0|2|489|1|2016-04-05 23:05:51.268368
490|208|1|1|0|36000|0|2|490|1|2016-04-05 23:05:56.323072
491|209|1|1|0|36000|0|2|491|1|2016-04-05 23:06:01.492506
492|210|1|1|0|36000|0|2|492|1|2016-04-05 23:06:06.549748
493|211|1|1|0|36000|0|2|493|1|2016-04-05 23:06:11.604263
494|212|1|1|0|36000|0|2|494|1|2016-04-05 23:06:16.782023
495|213|1|1|0|36000|0|2|495|1|2016-04-05 23:06:21.837791
496|214|1|1|0|36000|0|2|496|1|2016-04-05 23:06:27.018079
497|215|1|1|0|36000|0|2|497|1|2016-04-05 23:06:32.070078
498|216|1|1|0|36000|0|2|498|1|2016-04-05 23:06:37.234791
499|217|1|1|0|36000|0|2|499|1|2016-04-05 23:06:42.286749
500|218|1|1|0|36000|0|2|500|1|2016-04-05 23:06:47.462611
501|219|1|1|0|36000|0|2|501|1|2016-04-05 23:06:52.518723
502|220|1|1|0|36000|0|2|502|1|2016-04-05 23:06:57.688780
503|221|1|1|0|36000|0|2|503|1|2016-04-05 23:07:02.723035
504|222|1|1|0|36000|0|2|504|1|2016-04-05 23:07:07.762728
505|223|1|1|0|36000|0|2|505|1|2016-04-05 23:07:12.903759
506|224|1|1|0|36000|0|2|506|1|2016-04-05 23:07:17.988740
507|225|1|1|0|36000|0|2|507|1|2016-04-05 23:07:23.176163
508|226|1|1|0|36000|0|2|508|1|2016-04-05 23:07:28.255947
509|227|1|1|0|36000|0|2|509|1|2016-04-05 23:07:33.324062
510|228|1|1|0|36000|0|2|510|1|2016-04-05 23:07:38.506298
511|229|1|1|0|36000|0|2|511|1|2016-04-05 23:07:43.691251
512|230|1|1|0|36000|0|2|512|1|2016-04-05 23:07:48.658525
513|231|1|1|0|36000|0|2|513|1|2016-04-05 23:07:53.728597
514|232|1|1|0|36000|0|2|514|1|2016-04-05 23:07:58.918970
515|233|1|1|0|36000|0|2|515|1|2016-04-05 23:08:04.007313
516|234|1|1|0|36000|0|2|516|1|2016-04-05 23:08:09.213782
517|235|1|1|0|36000|0|2|517|1|2016-04-05 23:08:14.299623
518|236|1|1|0|36000|0|2|518|1|2016-04-05 23:08:19.371398
519|237|1|1|0|36000|0|2|519|1|2016-04-05 23:08:24.441492
520|238|1|1|0|36000|0|2|520|1|2016-04-05 23:08:29.610689
521|239|1|1|0|36000|0|2|521|1|2016-04-05 23:08:34.678660
522|240|1|1|0|36000|0|2|522|1|2016-04-05 23:08:39.851025
523|241|1|1|0|36000|0|2|523|1|2016-04-05 23:08:44.923584
524|242|1|1|0|36000|0|2|524|1|2016-04-05 23:08:50.119928
525|243|1|1|0|36000|0|2|525|1|2016-04-05 23:08:55.129174
526|244|1|1|0|36000|0|2|526|1|2016-04-05 23:09:00.228091
527|245|1|1|0|36000|0|2|527|1|2016-04-05 23:09:05.323866
528|246|1|1|0|36000|0|2|528|1|2016-04-05 23:09:10.428146
529|247|1|1|0|36000|0|2|529|1|2016-04-05 23:09:15.534008
530|248|1|1|0|36000|0|2|530|1|2016-04-05 23:09:20.630535
531|249|1|1|0|36000|0|2|531|1|2016-04-05 23:09:25.701875
532|250|1|1|0|36000|0|2|532|1|2016-04-05 23:09:30.779651
533|251|1|1|0|36000|0|2|533|1|2016-04-05 23:09:35.872227
534|252|1|1|0|36000|0|2|534|1|2016-04-05 23:09:40.968691
535|253|1|1|0|36000|0|2|535|1|2016-04-05 23:09:46.064818
536|254|1|1|0|36000|0|2|536|1|2016-04-05 23:09:51.271504
537|255|1|1|0|36000|0|2|537|1|2016-04-05 23:09:56.364155
538|256|1|1|0|36000|0|2|538|1|2016-04-05 23:10:01.463546
539|257|1|1|0|36000|0|2|539|1|2016-04-05 23:10:06.552549
540|258|1|1|0|36000|0|2|540|1|2016-04-05 23:10:11.654579
541|259|1|1|0|36000|0|2|541|1|2016-04-05 23:10:16.749786
542|260|1|1|0|36000|0|2|542|1|2016-04-05 23:10:21.839883
543|261|1|1|0|36000|0|2|543|1|2016-04-05 23:10:27.044069
544|262|1|1|0|36000|0|2|544|1|2016-04-05 23:10:32.151749
545|263|1|1|0|36000|0|2|545|1|2016-04-05 23:10:37.150043
546|264|1|1|0|36000|0|2|546|1|2016-04-05 23:10:42.259497
547|265|1|1|0|36000|0|2|547|1|2016-04-05 23:10:47.365310
548|266|1|1|0|36000|0|2|548|1|2016-04-05 23:10:52.578948
549|267|1|1|0|36000|0|2|549|1|2016-04-05 23:10:57.581073
550|268|1|1|0|36000|0|2|550|1|2016-04-05 23:11:02.687565
551|269|1|1|0|36000|0|2|551|1|2016-04-05 23:11:07.800486
552|270|1|1|0|36000|0|2|552|1|2016-04-05 23:11:13.020354
553|271|1|1|0|36000|0|2|553|1|2016-04-05 23:11:18.130630
554|272|1|1|0|36000|0|2|554|1|2016-04-05 23:11:23.243731
555|273|1|1|0|36000|0|2|555|1|2016-04-05 23:11:28.351029
556|274|1|1|0|36000|0|2|556|1|2016-04-05 23:11:33.468024
557|275|1|1|0|36000|0|2|557|1|2016-04-05 23:11:38.473072
558|276|1|1|0|36000|0|2|558|1|2016-04-05 23:11:43.605487
559|277|1|1|0|36000|0|2|559|1|2016-04-05 23:11:48.731248
560|278|1|1|0|36000|0|2|560|1|2016-04-05 23:11:53.857646
561|279|1|1|0|36000|0|2|561|1|2016-04-05 23:11:58.868739
562|280|1|1|0|36000|0|2|562|1|2016-04-05 23:12:03.997898
563|281|1|1|0|36000|0|2|563|1|2016-04-05 23:12:09.141415
564|282|1|1|0|36000|0|2|564|1|2016-04-05 23:12:14.276754
565|283|1|1|0|36000|0|2|565|1|2016-04-05 23:12:19.407308
566|284|1|1|0|36000|0|2|566|1|2016-04-05 23:12:24.443775
567|285|1|1|0|36000|0|2|567|1|2016-04-05 23:12:29.576053
568|286|1|1|0|36000|0|2|568|1|2016-04-05 23:12:34.729102
569|287|1|1|0|36000|0|2|569|1|2016-04-05 23:12:39.770428
570|288|1|1|0|36000|0|2|570|1|2016-04-05 23:12:44.907366
571|289|1|1|0|36000|0|2|571|1|2016-04-05 23:12:50.044301
572|290|1|1|0|36000|0|2|572|1|2016-04-05 23:12:55.195665
573|291|1|1|0|36000|0|2|573|1|2016-04-05 23:13:00.220209
574|292|1|1|0|36000|0|2|574|1|2016-04-05 23:13:05.376454
575|293|1|1|0|36000|0|2|575|1|2016-04-05 23:13:10.510147
576|294|1|1|0|36000|0|2|576|1|2016-04-05 23:13:15.548852
577|295|1|1|0|36000|0|2|577|1|2016-04-05 23:13:20.679414
578|296|1|1|0|36000|0|2|578|1|2016-04-05 23:13:25.824723
579|297|1|1|0|36000|0|2|579|1|2016-04-05 23:13:30.847545
580|298|1|1|0|36000|0|2|580|1|2016-04-05 23:13:35.977519
581|299|1|1|0|36000|0|2|581|1|2016-04-05 23:13:40.997001
582|300|1|1|0|36000|0|2|582|1|2016-04-05 23:13:46.144874
583|301|1|1|0|36000|0|2|583|1|2016-04-05 23:13:51.297178
584|302|1|1|0|36000|0|2|584|1|2016-04-05 23:13:56.336165
585|303|1|1|0|36000|0|2|585|1|2016-04-05 23:14:01.383344
586|304|1|1|0|36000|0|2|586|1|2016-04-05 23:14:06.531304
587|305|1|1|0|36000|0|2|587|1|2016-04-05 23:14:11.572036
588|306|1|1|0|36000|0|2|588|1|2016-04-05 23:14:16.624559
589|307|1|1|0|36000|0|2|589|1|2016-04-05 23:14:21.659097
590|308|1|1|0|36000|0|2|590|1|2016-04-05 23:14:26.803734
591|309|1|1|0|36000|0|2|591|1|2016-04-05 23:14:31.955734
592|310|1|1|0|36000|0|2|592|1|2016-04-05 23:14:37.096028
593|311|1|1|0|36000|0|2|593|1|2016-04-05 23:14:42.240494
594|312|1|1|0|36000|0|2|594|1|2016-04-05 23:14:47.389711
595|313|1|1|0|36000|0|2|595|1|2016-04-05 23:14:52.539946
596|314|1|1|0|36000|0|2|596|1|2016-04-05 23:14:57.573140
597|315|1|1|0|36000|0|2|597|1|2016-04-05 23:15:02.633811
598|316|1|1|0|36000|0|2|598|1|2016-04-05 23:15:07.690604
599|317|1|1|0|36000|0|2|599|1|2016-04-05 23:15:12.873096
600|318|1|1|0|36000|0|2|600|1|2016-04-05 23:15:17.930137
601|319|1|1|0|36000|0|2|601|1|2016-04-05 23:15:23.004393
602|320|1|1|0|36000|0|2|602|1|2016-04-05 23:15:28.186525
603|321|1|1|0|36000|0|2|603|1|2016-04-05 23:15:33.256620
604|322|1|1|0|36000|0|2|604|1|2016-04-05 23:15:38.444612
605|323|1|1|0|36000|0|2|605|1|2016-04-05 23:15:43.513990
606|324|1|1|0|36000|0|2|606|1|2016-04-05 23:15:48.589645
607|325|1|1|0|36000|0|2|607|1|2016-04-05 23:15:53.664631
608|326|1|1|0|36000|0|2|608|1|2016-04-05 23:15:58.840948
609|327|1|1|0|36000|0|2|609|1|2016-04-05 23:16:03.925224
610|328|1|1|0|36000|0|2|610|1|2016-04-05 23:16:09.003900
611|329|1|1|0|36000|0|2|611|1|2016-04-05 23:16:14.092464
612|330|1|1|0|36000|0|2|612|1|2016-04-05 23:16:19.285534
613|331|1|1|0|36000|0|2|613|1|2016-04-05 23:16:24.353105
614|332|1|1|0|36000|0|2|614|1|2016-04-05 23:16:29.540930
615|333|1|1|0|36000|0|2|615|1|2016-04-05 23:16:34.609928
616|334|1|1|0|36000|0|2|616|1|2016-04-05 23:16:39.680056
617|335|1|1|0|36000|0|2|617|1|2016-04-05 23:16:44.761762
618|336|1|1|0|36000|0|2|618|1|2016-04-05 23:16:49.946231
619|337|1|1|0|36000|0|2|619|1|2016-04-05 23:16:55.119844
620|338|1|1|0|36000|0|2|620|1|2016-04-05 23:17:00.098616
621|339|1|1|0|36000|0|2|621|1|2016-04-05 23:17:05.177662
622|340|1|1|0|36000|0|2|622|1|2016-04-05 23:17:10.246990
623|341|1|1|0|36000|0|2|623|1|2016-04-05 23:17:15.434144
624|342|1|1|0|36000|0|2|624|1|2016-04-05 23:17:20.521873
625|343|1|1|0|36000|0|2|625|1|2016-04-05 23:17:25.600724
626|344|1|1|0|36000|0|2|626|1|2016-04-05 23:17:30.803868
627|345|1|1|0|36000|0|2|627|1|2016-04-05 23:17:35.876654
628|346|1|1|0|36000|0|2|628|1|2016-04-05 23:17:40.968208
629|347|1|1|0|36000|0|2|629|1|2016-04-05 23:17:46.048320
630|348|1|1|0|36000|0|2|630|1|2016-04-05 23:17:51.122761
631|349|1|1|0|36000|0|2|631|1|2016-04-05 23:17:56.328183
632|350|1|1|0|36000|0|2|632|1|2016-04-05 23:18:01.410411
633|351|1|1|0|36000|0|2|633|1|2016-04-05 23:18:06.493345
634|352|1|1|0|36000|0|2|634|1|2016-04-05 23:18:11.677769
635|353|1|1|0|36000|0|2|635|1|2016-04-05 23:18:16.755101
636|354|1|1|0|36000|0|2|636|1|2016-04-05 23:18:21.842555
637|355|1|1|0|36000|0|2|637|1|2016-04-05 23:18:26.935850
638|356|1|1|0|36000|0|2|638|1|2016-04-05 23:18:32.023478
639|357|1|1|0|36000|0|2|639|1|2016-04-05 23:18:37.237234
640|358|1|1|0|36000|0|2|640|1|2016-04-05 23:18:42.240102
641|359|1|1|0|36000|0|2|641|1|2016-04-05 23:18:47.347711
642|360|1|1|0|36000|0|2|642|1|2016-04-05 23:18:52.458563
643|361|1|1|0|36000|0|2|643|1|2016-04-05 23:18:57.563794
644|362|1|1|0|36000|0|2|644|1|2016-04-05 23:19:02.677771
645|363|1|1|0|36000|0|2|645|1|2016-04-05 23:19:07.797337
646|364|1|1|0|36000|0|2|646|1|2016-04-05 23:19:12.917311
647|365|1|1|0|36000|0|2|647|1|2016-04-05 23:19:18.025724
648|366|1|1|0|36000|0|2|648|1|2016-04-05 23:19:23.136359
649|367|1|1|0|36000|0|2|649|1|2016-04-05 23:19:28.243657
650|368|1|1|0|36000|0|2|650|1|2016-04-05 23:19:33.356313
651|369|1|1|0|36000|0|2|651|1|2016-04-05 23:19:38.472370
652|370|1|1|0|36000|0|2|652|1|2016-04-05 23:19:43.583129
653|371|1|1|0|36000|0|2|653|1|2016-04-05 23:19:48.709159
654|372|1|1|0|36000|0|2|654|1|2016-04-05 23:19:53.718306
655|373|1|1|0|36000|0|2|655|1|2016-04-05 23:19:58.837383
656|374|1|1|0|36000|0|2|656|1|2016-04-05 23:20:03.970531
657|375|1|1|0|36000|0|2|657|1|2016-04-05 23:20:08.981278
658|376|1|1|0|36000|0|2|658|1|2016-04-05 23:20:14.101741
659|377|1|1|0|36000|0|2|659|1|2016-04-05 23:20:19.321939
660|378|1|1|0|36000|0|2|660|1|2016-04-05 23:20:24.439072
661|379|1|1|0|36000|0|2|661|1|2016-04-05 23:20:29.450826
662|380|1|1|0|36000|0|2|662|1|2016-04-05 23:20:34.574327
663|381|1|1|0|36000|0|2|663|1|2016-04-05 23:20:39.815227
